student_id,school_math,sex_math,age_math,address_type_math,family_size_math,parent_status_math,mother_education_math,father_education_math,mother_job_math,father_job_math,school_choice_reason_math,guardian_math,travel_time_math,study_time_math,class_failures_math,school_support_math,family_support_math,extra_paid_classes_math,activities_math,nursery_school_math,higher_ed_math,internet_access_math,romantic_relationship_math,family_relationship_math,free_time_math,social_math,weekday_alcohol_math,weekend_alcohol_math,health_math,absences_math,grade_1_math,grade_2_math,final_grade_math,school_por,sex_por,age_por,address_type_por,family_size_por,parent_status_por,mother_education_por,father_education_por,mother_job_por,father_job_por,school_choice_reason_por,guardian_por,travel_time_por,study_time_por,class_failures_por,school_support_por,family_support_por,extra_paid_classes_por,activities_por,nursery_school_por,higher_ed_por,internet_access_por,romantic_relationship_por,family_relationship_por,free_time_por,social_por,weekday_alcohol_por,weekend_alcohol_por,health_por,absences_por,grade_1_por,grade_2_por,final_grade_por
1,GP,F,18,Urban,Greater than 3,Apart,higher education,higher education,at_home,teacher,course,mother,15 to 30 min.,2 to 5 hours,0,yes,no,no,no,yes,yes,no,no,4,3,4,1,1,3,6,5,6,6,GP,F,18,Urban,Greater than 3,Apart,higher education,higher education,at_home,teacher,course,mother,15 to 30 min.,2 to 5 hours,0,yes,no,no,no,yes,yes,no,no,4,3,4,1,1,3,4,0,11,11
2,GP,F,17,Urban,Greater than 3,Living together,primary education (4th grade),primary education (4th grade),at_home,other,course,father,<15 min.,2 to 5 hours,0,no,yes,no,no,no,yes,yes,no,5,3,3,1,1,3,4,5,5,6,GP,F,17,Urban,Greater than 3,Living together,primary education (4th grade),primary education (4th grade),at_home,other,course,father,<15 min.,2 to 5 hours,0,no,yes,no,no,no,yes,yes,no,5,3,3,1,1,3,2,9,11,11
3,GP,F,15,Urban,Less than or equal to 3,Living together,primary education (4th grade),primary education (4th grade),at_home,other,other,mother,<15 min.,2 to 5 hours,3,yes,no,yes,no,yes,yes,yes,no,4,3,2,2,3,3,10,7,8,10,GP,F,15,Urban,Less than or equal to 3,Living together,primary education (4th grade),primary education (4th grade),at_home,other,other,mother,<15 min.,2 to 5 hours,0,yes,no,no,no,yes,yes,yes,no,4,3,2,2,3,3,6,12,13,12
4,GP,F,15,Urban,Greater than 3,Living together,higher education,5th to 9th grade,health,services,home,mother,<15 min.,5 to 10 hours,0,no,yes,yes,yes,yes,yes,yes,yes,3,2,2,1,1,5,2,15,14,15,GP,F,15,Urban,Greater than 3,Living together,higher education,5th to 9th grade,health,services,home,mother,<15 min.,5 to 10 hours,0,no,yes,no,yes,yes,yes,yes,yes,3,2,2,1,1,5,0,14,14,14
5,GP,F,16,Urban,Greater than 3,Living together,secondary education,secondary education,other,other,home,father,<15 min.,2 to 5 hours,0,no,yes,yes,no,yes,yes,no,no,4,3,2,1,2,5,4,6,10,10,GP,F,16,Urban,Greater than 3,Living together,secondary education,secondary education,other,other,home,father,<15 min.,2 to 5 hours,0,no,yes,no,no,yes,yes,no,no,4,3,2,1,2,5,0,11,13,13
6,GP,M,16,Urban,Less than or equal to 3,Living together,higher education,secondary education,services,other,reputation,mother,<15 min.,2 to 5 hours,0,no,yes,yes,yes,yes,yes,yes,no,5,4,2,1,2,5,10,15,15,15,GP,M,16,Urban,Less than or equal to 3,Living together,higher education,secondary education,services,other,reputation,mother,<15 min.,2 to 5 hours,0,no,yes,no,yes,yes,yes,yes,no,5,4,2,1,2,5,6,12,12,13
7,GP,M,16,Urban,Less than or equal to 3,Living together,5th to 9th grade,5th to 9th grade,other,other,home,mother,<15 min.,2 to 5 hours,0,no,no,no,no,yes,yes,yes,no,4,4,4,1,1,3,0,12,12,11,GP,M,16,Urban,Less than or equal to 3,Living together,5th to 9th grade,5th to 9th grade,other,other,home,mother,<15 min.,2 to 5 hours,0,no,no,no,no,yes,yes,yes,no,4,4,4,1,1,3,0,13,12,13
8,GP,F,17,Urban,Greater than 3,Apart,higher education,higher education,other,teacher,home,mother,15 to 30 min.,2 to 5 hours,0,yes,yes,no,no,yes,yes,no,no,4,1,4,1,1,1,6,6,5,6,GP,F,17,Urban,Greater than 3,Apart,higher education,higher education,other,teacher,home,mother,15 to 30 min.,2 to 5 hours,0,yes,yes,no,no,yes,yes,no,no,4,1,4,1,1,1,2,10,13,13
9,GP,M,15,Urban,Less than or equal to 3,Apart,secondary education,5th to 9th grade,services,other,home,mother,<15 min.,2 to 5 hours,0,no,yes,yes,no,yes,yes,yes,no,4,2,2,1,1,1,0,16,18,19,GP,M,15,Urban,Less than or equal to 3,Apart,secondary education,5th to 9th grade,services,other,home,mother,<15 min.,2 to 5 hours,0,no,yes,no,no,yes,yes,yes,no,4,2,2,1,1,1,0,15,16,17
10,GP,M,15,Urban,Greater than 3,Living together,secondary education,higher education,other,other,home,mother,<15 min.,2 to 5 hours,0,no,yes,yes,yes,yes,yes,yes,no,5,5,1,1,1,5,0,14,15,15,GP,M,15,Urban,Greater than 3,Living together,secondary education,higher education,other,other,home,mother,<15 min.,2 to 5 hours,0,no,yes,no,yes,yes,yes,yes,no,5,5,1,1,1,5,0,12,12,13
